Wiederaufnahme der Sitzungsperiode ;81 5 1642;Resumption of the session ;8645 12 4 1607;Resumption of the session ;8645 12 4 1607;0.08739908739908739;1;3
Ich erkläre die am Freitag , dem 17 . Dezember unterbrochene Sitzungsperiode des Europäischen Parlaments für wiederaufgenommen , wünsche Ihnen nochmals alles Gute zum Jahreswechsel und hoffe , daß Sie schöne Ferien hatten . ;107 475 16 721 5363 14 61 5357 25 231 14702 1642 50 62 572 32 2961 14 998 445 409 406 7479 587 0 20 1845 14 30 394 12033 0 140 25;I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999 , and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period . ;117 1611 2748 4 1607 12 4 193 64 1612 82 3570 6572 238 180 20 53 117 427 118 73 1301 37 92 448 35 6341 416 1013 3 4 136 31 448 5293 35 12527 24058 165 26;I declare the 17 . December European Parliament for success and I hope that you . ;117 1611 4 6572 26 238 193 64 61 997 53 117 136 31 448 26;5.205000939095994e-24;1;3
Im Parlament besteht der Wunsch nach einer Aussprache im Verlauf dieser Sitzungsperiode in den nächsten Tagen . ;1163 63 2137 5 2208 147 456 262 73 1857 82 1642 4 33 566 8262 25;You have requested a debate on this subject in the course of the next few days , during this part-session . ;376 113 4412 35 269 82 124 2254 3 4 931 12 4 1260 1730 3682 20 755 124 3530 26;Parliament is the desire to debate in these in few days . ;64 28 4 669 37 269 3 84 3 1730 3682 26;2.584597449264715e-13;1;4
Heute möchte ich Sie bitten - das ist auch der Wunsch einiger Kolleginnen und Kollegen - , allen Opfern der Stürme , insbesondere in den verschiedenen Ländern der Europäischen Union , in einer Schweigeminute zu gedenken . ;118 108 210 394 5535 625 15 7 188 5 2208 177 56 20 57 625 14 216 4009 5 0 14 185 4 33 59 727 5 62 266 14 4 456 10717 28 11542 25;In the meantime , I should like to observe a minute s silence , as a number of Members have requested , on behalf of all the victims concerned , particularly those of the terrible storms , in the various countries of the European Union . ;451 4 5345 20 117 33 118 37 4039 35 767 24 2684 20 21 35 868 12 445 113 4412 20 82 1641 12 223 4 283 42 20 480 1241 12 4 3734 6407 20 3 4 59 715 12 4 193 276 26;Today would like I ask you - of some and - everything , various countries of the European Union , minute s silence commemorate . ;1489 427 118 117 708 448 638 12 149 53 638 2046 20 59 715 12 4 193 276 20 767 24 2684 21427 26;1.0863394277656238e-27;1;3
Ich bitte Sie , sich zu einer Schweigeminute zu erheben . ;107 578 394 14 180 28 456 10717 28 6498 25;Please rise , then , for this minute s silence . ;6357 1613 20 330 20 61 124 767 24 2684 26;I ask minute s silence . ;117 708 767 24 2684 26;9.426506666599899e-07;1;3
( Das Parlament erhebt sich zu einer Schweigeminute . ) ;884 157 63 10716 180 28 456 10717 25 886;( The House rose and observed a minute s silence ) ;900 226 1479 7323 53 730 35 767 24 2684 902;Parliament rose and observed minute s silence . ) ;64 7323 53 730 767 24 2684 26 902;0.00013951664758477046;1;3
Frau Präsidentin , zur Geschäftsordnung . ;617 618 14 222 755 25;Madam President , on a point of order . ;635 58 20 82 35 1089 12 735 26;Madam President point of order . ;635 58 1089 12 735 26;0.0035637660304601534;1;4
Wie Sie sicher aus der Presse und dem Fernsehen wissen , gab es in Sri Lanka mehrere Bombenexplosionen mit zahlreichen Toten . ;282 394 854 181 5 6431 20 61 5931 887 14 3271 27 4 7912 7913 441 0 131 4326 3791 25;You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka . ;376 125 8 1405 186 4 3367 53 3676 31 672 113 78 35 868 12 10567 33764 53 12449 3 5276 7254 26;As the and know there were Lanka with numerous . ;292 4 53 335 672 114 7254 46 2801 26;1.890416856815176e-17;1;5
Zu den Attentatsopfern , die es in jüngster Zeit in Sri Lanka zu beklagen gab , zählt auch Herr Kumar Ponnambalam , der dem Europäischen Parlament erst vor wenigen Monaten einen Besuch abgestattet hatte . ;710 33 0 14 16 27 4 5217 291 4 7912 7913 28 3075 3271 14 2540 188 53 0 0 14 5 61 62 63 814 96 3108 993 232 6784 0 2441 25;One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam , who had visited the European Parliament just a few months ago . ;1095 12 4 420 8745 372 915 3 5276 7254 834 47 0 0 20 287 442 5151 4 193 64 340 35 1730 995 742 26;in Lanka is also Mr , of the European Parliament have months visited a was . ;3 7254 28 342 47 20 12 4 193 64 113 995 5151 35 834 26;2.5584058242048065e-27;1;3
Ja , Herr Evans , ich denke , daß eine derartige Initiative durchaus angebracht ist . ;8653 14 53 5568 14 210 362 14 30 211 3110 640 2160 5348 7 25;Yes , Mr Evans , I feel an initiative of the type you have just suggested would be entirely appropriate . ;4342 20 47 5136 20 117 853 13 649 12 4 350 448 113 340 592 427 8 3018 1828 26;Yes , Mr , I think that initiative . ;4342 20 47 20 117 377 31 649 26;6.076784006389713e-09;1;3
Wenn das Haus damit einverstanden ist , werde ich dem Vorschlag von Herrn Evans folgen . ;112 15 2278 1232 1196 7 14 1165 210 61 233 46 143 5568 2010 25;If the House agrees , I shall do as Mr Evans has suggested . ;324 4 1479 1000 20 117 331 580 21 47 5136 76 592 26;If the is House agreed I will Mr . ;324 4 28 1479 2715 117 125 47 26;1.13643403869215e-10;1;3
Frau Präsidentin , zur Geschäftsordnung . ;617 618 14 222 755 25;Madam President , on a point of order . ;635 58 20 82 35 1089 12 735 26;Madam President point of order . ;635 58 1089 12 735 26;0.0035637660304601534;1;4
Könnten Sie mir eine Auskunft zu Artikel 143 im Zusammenhang mit der Unzulässigkeit geben ? ;1498 394 940 211 2527 28 453 0 73 931 131 5 0 66 554;I would like your advice about Rule 143 concerning inadmissibility . ;117 427 118 1234 3826 339 1614 11940 156 0 26;Could me information Article with the ? ;1476 766 204 454 46 4 577;3.164666023644934e-11;1;6
Meine Frage betrifft eine Angelegenheit , die am Donnerstag zur Sprache kommen wird und auf die ich dann erneut verweisen werde . ;1741 202 474 211 557 14 16 721 1672 222 1778 1374 139 20 9 16 210 569 1649 2284 1165 25;My question relates to something that will come up on Thursday and which I will then raise again . ;1933 213 4361 37 2472 31 125 151 890 82 1644 53 15 117 125 330 1714 1301 26;My question concerns a matter place on Thursday and I then point out . ;1933 213 483 35 1077 856 82 1644 53 117 330 1089 1073 26;9.25272407743098e-16;1;3
Und zwar sollen derartige Strafen trotz des Grundsatzes der relativen Stabilität verhängt werden . ;972 843 270 3110 5978 1366 50 9084 5 12328 5422 9882 115 25;It says that this should be done despite the principle of relative stability . ;27 6551 31 124 33 8 460 1293 4 463 12 8210 695 26;And to despite principle number relative stability . ;1393 37 1293 463 868 8210 695 26;1.0145030055868598e-07;1;3
Genau dann können Sie , wenn Sie wollen , diese Frage ansprechen , d . h . am Donnerstag zu Beginn der Aussprache über den Bericht . ;6365 569 311 394 14 278 394 90 14 127 202 7021 14 1024 25 1025 25 721 1672 28 2802 5 262 153 33 1506 25;That is precisely the time when you may , if you wish , raise this question , i . e . on Thursday prior to the start of the presentation of the report . ;1014 28 1709 4 398 363 448 319 20 121 448 92 20 1714 124 213 20 1026 26 1027 26 82 1644 2023 37 4 1004 12 4 1735 12 4 1132 26;then can you if you want question . place on Thursday at the debate on the report . ;330 6 448 121 448 738 213 26 856 82 1644 242 4 269 82 4 1132 26;7.751490875725376e-20;1;3
Frau Präsidentin ! ;617 618 58; ;;Madam President , ;635 58 20;0.1763568735242256;1;3
All dies entspricht den Grundsätzen , die wir stets verteidigt haben . ;902 302 2522 33 3151 14 16 42 3635 11844 95 25;This is all in accordance with the principles that we have always upheld . ;162 28 223 3 265 46 4 1569 31 318 113 768 9344 26;All this is principles we defend . ;918 124 28 1569 318 794 26;5.0797832888409596e-08;1;3
Vielen Dank , Herr Segni , das will ich gerne tun . ;924 925 14 53 0 14 15 236 210 738 800 25;Thank you , Mr Segni , I shall do so gladly . ;447 448 20 47 0 20 117 331 580 1097 5311 26;Thank you Mr , I would like do . ;447 448 47 20 117 427 118 580 26;1.5312026821666034e-07;1;2
Das ist ganz im Sinne der Position , die wir als Parlament immer vertreten haben . ;157 7 109 73 472 5 697 14 16 42 354 63 671 1641 95 25;Indeed , it is quite in keeping with the positions this House has always adopted . ;1485 20 86 28 120 3 3479 46 4 1317 124 1479 76 768 1376 26;This is on , we Parliament . ;162 28 82 20 318 64 26;7.14355230743959e-13;1;3
Frau Präsidentin ! Ich möchte Sie auf einen Fall aufmerksam machen , mit dem sich dieses Parlament immer wieder befaßt hat . ;617 618 58 107 108 394 9 232 908 396 397 14 131 61 180 207 63 671 91 297 120 25;Madam President , I should like to draw your attention to a case in which this Parliament has consistently shown an interest . ;635 58 20 117 33 118 37 409 1234 410 37 35 922 3 15 124 64 76 6318 852 13 970 26;Madam President , I would like to a Parliament deals with . ;635 58 20 117 427 118 37 35 64 6293 46 26;1.5085915933983751e-15;1;3
Das ist der Fall von Alexander Nikitin . ;157 7 5 908 46 16894 0 25;It is the case of Alexander Nikitin . ;27 28 4 922 12 18703 38049 26;This is the case of Alexander . ;162 28 4 922 12 18703 26;2.824410883440613e-07;1;6
Wir freuen uns hier alle , daß das Gericht ihn freigesprochen und deutlich gemacht hat , daß auch in Rußland der Zugang zu Umweltinformationen konstitutionelles Recht ist . ;129 11219 285 531 706 14 30 15 3093 2384 0 20 2339 1213 120 14 30 188 4 5454 5 3970 28 11598 0 309 7 25;All of us here are pleased that the courts have acquitted him and made it clear that in Russia , too , access to environmental information is a constitutional right . ;918 12 295 712 41 4118 31 4 4612 113 10878 2247 53 228 86 72 31 3 5031 20 404 20 1713 37 933 204 28 35 2300 871 26;We look forward all that and that also the access to information rightly so . ;40 690 1885 223 31 53 31 342 4 1713 37 204 1922 1097 26;2.376351308395896e-20;1;3
Nun ist es aber so , daß er wieder angeklagt werden soll , weil der Staatsanwalt in Berufung geht . ;919 7 27 383 208 14 30 700 91 10904 115 329 14 469 5 6810 4 14401 417 25;Now , however , he is to go before the courts once more because the public prosecutor is appealing . ;2537 20 693 20 711 28 37 423 101 4 4612 73 65 481 4 971 6252 28 10559 26;Now is that because the public prosecutor . ;2537 28 31 481 4 971 6252 26;2.0200363291795277e-15;1;3
