Wiederaufnahme der Sitzungsperiode ;81 5 1642;Resumption of the session ;8645 12 4 1607;Resumption of session ;8645 12 1607;0.17638398115429918;1;1
Wie Sie feststellen konnten , ist der gefürchtete Millenium-Bug nicht eingetreten . Doch sind Bürger einiger unserer Mitgliedstaaten Opfer von schrecklichen Naturkatastrophen geworden . ;282 394 111 85 14 7 5 0 0 315 3072 25 1072 87 312 177 422 193 275 46 9286 6258 4323 25;Although , as you will have seen , the dreaded millennium bug failed to materialise , still the people in a number of countries suffered a series of natural disasters that truly were dreadful . ;2080 20 21 448 125 113 2406 20 4 11305 7152 36261 3813 37 11245 20 639 4 420 3 35 868 12 715 2979 35 3355 12 2487 4110 31 3662 114 4017 26;As you the argued . , but are citizens our Member States terrible . ;292 448 4 4245 26 20 322 41 333 154 202 75 3734 26;1.3107623111111605e-15;1;2
Im Parlament besteht der Wunsch nach einer Aussprache im Verlauf dieser Sitzungsperiode in den nächsten Tagen . ;1163 63 2137 5 2208 147 456 262 73 1857 82 1642 4 33 566 8262 25;You have requested a debate on this subject in the course of the next few days , during this part-session . ;376 113 4412 35 269 82 124 2254 3 4 931 12 4 1260 1730 3682 20 755 124 3530 26;Parliament is debate these session in days . ;64 28 269 84 1607 3 3682 26;1.0414534842480874e-12;1;3
Heute möchte ich Sie bitten - das ist auch der Wunsch einiger Kolleginnen und Kollegen - , allen Opfern der Stürme , insbesondere in den verschiedenen Ländern der Europäischen Union , in einer Schweigeminute zu gedenken . ;118 108 210 394 5535 625 15 7 188 5 2208 177 56 20 57 625 14 216 4009 5 0 14 185 4 33 59 727 5 62 266 14 4 456 10717 28 11542 25;In the meantime , I should like to observe a minute s silence , as a number of Members have requested , on behalf of all the victims concerned , particularly those of the terrible storms , in the various countries of the European Union . ;451 4 5345 20 117 33 118 37 4039 35 767 24 2684 20 21 35 868 12 445 113 4412 20 82 1641 12 223 4 283 42 20 480 1241 12 4 3734 6407 20 3 4 59 715 12 4 193 276 26;Today would like I you - the is ladies and - particularly various countries European Union , a minute s silence commemorate . ;1489 427 118 117 448 638 4 28 1169 53 638 480 59 715 193 276 20 35 767 24 2684 21427 26;8.368582896707958e-26;1;3
Ich bitte Sie , sich zu einer Schweigeminute zu erheben . ;107 578 394 14 180 28 456 10717 28 6498 25;Please rise , then , for this minute s silence . ;6357 1613 20 330 20 61 124 767 24 2684 26;I ask minute s silence . ;117 708 767 24 2684 26;2.783965875241419e-07;1;3
( Das Parlament erhebt sich zu einer Schweigeminute . ) ;884 157 63 10716 180 28 456 10717 25 886;( The House rose and observed a minute s silence ) ;900 226 1479 7323 53 730 35 767 24 2684 902;( Parliament observe minute s silence . ) ;900 64 4039 767 24 2684 26 902;0.0005399415044366985;1;5
Frau Präsidentin , zur Geschäftsordnung . ;617 618 14 222 755 25;Madam President , on a point of order . ;635 58 20 82 35 1089 12 735 26;Madam President , on a point of order . ;635 58 20 82 35 1089 12 735 26;0.004577315334678377;1;3
Wie Sie sicher aus der Presse und dem Fernsehen wissen , gab es in Sri Lanka mehrere Bombenexplosionen mit zahlreichen Toten . ;282 394 854 181 5 6431 20 61 5931 887 14 3271 27 4 7912 7913 441 0 131 4326 3791 25;You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka . ;376 125 8 1405 186 4 3367 53 3676 31 672 113 78 35 868 12 10567 33764 53 12449 3 5276 7254 26;As you in press and the television know there were Sri Lanka . ;292 448 3 3367 53 4 3676 335 672 114 5276 7254 26;7.713685159038457e-16;1;4
Zu den Attentatsopfern , die es in jüngster Zeit in Sri Lanka zu beklagen gab , zählt auch Herr Kumar Ponnambalam , der dem Europäischen Parlament erst vor wenigen Monaten einen Besuch abgestattet hatte . ;710 33 0 14 16 27 4 5217 291 4 7912 7913 28 3075 3271 14 2540 188 53 0 0 14 5 61 62 63 814 96 3108 993 232 6784 0 2441 25;One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam , who had visited the European Parliament just a few months ago . ;1095 12 4 420 8745 372 915 3 5276 7254 834 47 0 0 20 287 442 5151 4 193 64 340 35 1730 995 742 26;the , in Sri Lanka is also Mr , the draft submitted European Parliament only a few had . ;4 20 3 5276 7254 28 342 47 20 4 1035 3529 193 64 7 35 1730 442 26;6.441069501615785e-25;1;4
Ja , Herr Evans , ich denke , daß eine derartige Initiative durchaus angebracht ist . ;8653 14 53 5568 14 210 362 14 30 211 3110 640 2160 5348 7 25;Yes , Mr Evans , I feel an initiative of the type you have just suggested would be entirely appropriate . ;4342 20 47 5136 20 117 853 13 649 12 4 350 448 113 340 592 427 8 3018 1828 26;Yes , Mr Evans , I think that a initiative this . ;4342 20 47 5136 20 117 377 31 35 649 124 26;3.72173964867989e-10;1;5
Wenn das Haus damit einverstanden ist , werde ich dem Vorschlag von Herrn Evans folgen . ;112 15 2278 1232 1196 7 14 1165 210 61 233 46 143 5568 2010 25;If the House agrees , I shall do as Mr Evans has suggested . ;324 4 1479 1000 20 117 331 580 21 47 5136 76 592 26;If the I proposal Mr Evans follow footsteps . ;324 4 117 240 47 5136 2792 9734 26;1.349539090187382e-10;1;3
Frau Präsidentin , zur Geschäftsordnung . ;617 618 14 222 755 25;Madam President , on a point of order . ;635 58 20 82 35 1089 12 735 26;Madam President , on a point of order . ;635 58 20 82 35 1089 12 735 26;0.004577315334678377;1;3
Könnten Sie mir eine Auskunft zu Artikel 143 im Zusammenhang mit der Unzulässigkeit geben ? ;1498 394 940 211 2527 28 453 0 73 931 131 5 0 66 554;I would like your advice about Rule 143 concerning inadmissibility . ;117 427 118 1234 3826 339 1614 11940 156 0 26;Could you a Article ? ;1476 448 35 454 577;3.343984562840199e-12;1;3
