Wiederaufnahme der Sitzungsperiode ;81 5 1642;Resumption of the session ;8645 12 4 1607;Resumption of session ;8645 12 1607;0.2786046511627907;1;1
Im Parlament besteht der Wunsch nach einer Aussprache im Verlauf dieser Sitzungsperiode in den nächsten Tagen . ;1163 63 2137 5 2208 147 456 262 73 1857 82 1642 4 33 566 8262 25;You have requested a debate on this subject in the course of the next few days , during this part-session . ;376 113 4412 35 269 82 124 2254 3 4 931 12 4 1260 1730 3682 20 755 124 3530 26;In Parliament is part-session ;451 64 28 3530;2.8001609196358004e-10;3;1
Heute möchte ich Sie bitten - das ist auch der Wunsch einiger Kolleginnen und Kollegen - , allen Opfern der Stürme , insbesondere in den verschiedenen Ländern der Europäischen Union , in einer Schweigeminute zu gedenken . ;118 108 210 394 5535 625 15 7 188 5 2208 177 56 20 57 625 14 216 4009 5 0 14 185 4 33 59 727 5 62 266 14 4 456 10717 28 11542 25;In the meantime , I should like to observe a minute s silence , as a number of Members have requested , on behalf of all the victims concerned , particularly those of the terrible storms , in the various countries of the European Union . ;451 4 5345 20 117 33 118 37 4039 35 767 24 2684 20 21 35 868 12 445 113 4412 20 82 1641 12 223 4 283 42 20 480 1241 12 4 3734 6407 20 3 4 59 715 12 4 193 276 26;I Today would like you ask - that , the and wish European observe some victims particularly countries Union minute s silence . ;117 1489 427 118 448 708 638 31 20 4 53 92 193 4039 149 283 480 715 276 767 24 2684 26;4.113371529449918e-21;1;2
Ich bitte Sie , sich zu einer Schweigeminute zu erheben . ;107 578 394 14 180 28 456 10717 28 6498 25;Please rise , then , for this minute s silence . ;6357 1613 20 330 20 61 124 767 24 2684 26;I ask minute s silence for this . ;117 708 767 24 2684 61 124 26;8.822254024373154e-05;1;2
( Das Parlament erhebt sich zu einer Schweigeminute . ) ;884 157 63 10716 180 28 456 10717 25 886;( The House rose and observed a minute s silence ) ;900 226 1479 7323 53 730 35 767 24 2684 902;( Parliament rose and observed minute s silence . ) ;900 64 7323 53 730 767 24 2684 26 902;0.0027556280395830872;1;2
Frau Präsidentin , zur Geschäftsordnung . ;617 618 14 222 755 25;Madam President , on a point of order . ;635 58 20 82 35 1089 12 735 26;Madam President , on a point of order . ;635 58 20 82 35 1089 12 735 26;0.02681655725568247;1;2
Wie Sie sicher aus der Presse und dem Fernsehen wissen , gab es in Sri Lanka mehrere Bombenexplosionen mit zahlreichen Toten . ;282 394 854 181 5 6431 20 61 5931 887 14 3271 27 4 7912 7913 441 0 131 4326 3791 25;You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka . ;376 125 8 1405 186 4 3367 53 3676 31 672 113 78 35 868 12 10567 33764 53 12449 3 5276 7254 26;As you in sure press and militaristic television screens Sri Lanka ;292 448 3 999 3367 53 21238 3676 5738 5276 7254;1.5416507875599954e-13;4;2
Ja , Herr Evans , ich denke , daß eine derartige Initiative durchaus angebracht ist . ;8653 14 53 5568 14 210 362 14 30 211 3110 640 2160 5348 7 25;Yes , Mr Evans , I feel an initiative of the type you have just suggested would be entirely appropriate . ;4342 20 47 5136 20 117 853 13 649 12 4 350 448 113 340 592 427 8 3018 1828 26;Yes , Mr Evans , I think that a this of this kind initiative . ;4342 20 47 5136 20 117 377 31 35 124 12 124 2563 649 26;7.400882838101926e-07;1;3
Frau Präsidentin , zur Geschäftsordnung . ;617 618 14 222 755 25;Madam President , on a point of order . ;635 58 20 82 35 1089 12 735 26;Madam President , on a point of order . ;635 58 20 82 35 1089 12 735 26;0.02681655725568247;1;2
Könnten Sie mir eine Auskunft zu Artikel 143 im Zusammenhang mit der Unzulässigkeit geben ? ;1498 394 940 211 2527 28 453 0 73 931 131 5 0 66 554;I would like your advice about Rule 143 concerning inadmissibility . ;117 427 118 1234 3826 339 1614 11940 156 0 26;Could you a Article with ? ;1476 448 35 454 46 577;3.3220784907103765e-07;1;3
Meine Frage betrifft eine Angelegenheit , die am Donnerstag zur Sprache kommen wird und auf die ich dann erneut verweisen werde . ;1741 202 474 211 557 14 16 721 1672 222 1778 1374 139 20 9 16 210 569 1649 2284 1165 25;My question relates to something that will come up on Thursday and which I will then raise again . ;1933 213 4361 37 2472 31 125 151 890 82 1644 53 15 117 125 330 1714 1301 26;My question concerns a matter place on Thursday and I ;1933 213 483 35 1077 856 82 1644 53 117;6.71067865792873e-11;2;3
Genau dann können Sie , wenn Sie wollen , diese Frage ansprechen , d . h . am Donnerstag zu Beginn der Aussprache über den Bericht . ;6365 569 311 394 14 278 394 90 14 127 202 7021 14 1024 25 1025 25 721 1672 28 2802 5 262 153 33 1506 25;That is precisely the time when you may , if you wish , raise this question , i . e . on Thursday prior to the start of the presentation of the report . ;1014 28 1709 4 398 363 448 319 20 121 448 92 20 1714 124 213 20 1026 26 1027 26 82 1644 2023 37 4 1004 12 4 1735 12 4 1132 26;Then can if you want address this , . place on Thursday at ;4772 6 121 448 738 1856 124 20 26 856 82 1644 242;5.761467034956285e-15;3;2
Frau Präsidentin ! ;617 618 58; ;;Madam President , ;635 58 20;0.39123972000833057;1;1
Auf Wunsch eines französischen Mitglieds , Herrn Zimeray , wurde bereits eine Petition eingereicht , die von vielen , auch von mir selbst , unterzeichnet worden ist . ;2005 2208 11 3147 14622 14 143 0 14 412 260 211 15976 4814 14 16 46 2094 14 188 46 940 666 14 10014 432 7 25;At the request of a French Member , Mr Zimeray , a petition has already been presented , which many people signed , including myself . ;127 4 1833 12 35 1011 202 20 47 7418 20 35 13194 76 271 78 239 20 15 812 420 2864 20 1968 1330 26;In of a French Mr , already a tabled petition many . ;451 12 35 1011 47 20 271 35 63 13194 812 26;1.6385134086127836e-16;1;3
Vielen Dank , Herr Segni , das will ich gerne tun . ;924 925 14 53 0 14 15 236 210 738 800 25;Thank you , Mr Segni , I shall do so gladly . ;447 448 20 47 0 20 117 331 580 1097 5311 26;Thank you , Mr , I to like to . ;447 448 20 47 20 117 37 118 37 26;9.110686852876868e-07;1;3
Das ist ganz im Sinne der Position , die wir als Parlament immer vertreten haben . ;157 7 109 73 472 5 697 14 16 42 354 63 671 1641 95 25;Indeed , it is quite in keeping with the positions this House has always adopted . ;1485 20 86 28 120 3 3479 46 4 1317 124 1479 76 768 1376 26;The is position we Parliament . ;226 28 707 318 64 26;3.985080693578727e-08;1;3
Frau Präsidentin ! Ich möchte Sie auf einen Fall aufmerksam machen , mit dem sich dieses Parlament immer wieder befaßt hat . ;617 618 58 107 108 394 9 232 908 396 397 14 131 61 180 207 63 671 91 297 120 25;Madam President , I should like to draw your attention to a case in which this Parliament has consistently shown an interest . ;635 58 20 117 33 118 37 409 1234 410 37 35 922 3 15 124 64 76 6318 852 13 970 26;Madam President , I would like a Parliament this . ;635 58 20 117 427 118 35 64 124 26;1.0578284055492708e-09;1;3
Das ist der Fall von Alexander Nikitin . ;157 7 5 908 46 16894 0 25;It is the case of Alexander Nikitin . ;27 28 4 922 12 18703 38049 26;The is of . ;226 28 12 26;0.0007982324546822417;1;3
Wir freuen uns hier alle , daß das Gericht ihn freigesprochen und deutlich gemacht hat , daß auch in Rußland der Zugang zu Umweltinformationen konstitutionelles Recht ist . ;129 11219 285 531 706 14 30 15 3093 2384 0 20 2339 1213 120 14 30 188 4 5454 5 3970 28 11598 0 309 7 25;All of us here are pleased that the courts have acquitted him and made it clear that in Russia , too , access to environmental information is a constitutional right . ;918 12 295 712 41 4118 31 4 4612 113 10878 2247 53 228 86 72 31 3 5031 20 404 20 1713 37 933 204 28 35 2300 871 26;We look forward all that the Court and it that Russia access to environmental information right . ;40 690 1885 223 31 4 491 53 86 31 5031 1713 37 933 204 871 26;5.924438558833955e-14;1;6
Nun ist es aber so , daß er wieder angeklagt werden soll , weil der Staatsanwalt in Berufung geht . ;919 7 27 383 208 14 30 700 91 10904 115 329 14 469 5 6810 4 14401 417 25;Now , however , he is to go before the courts once more because the public prosecutor is appealing . ;2537 20 693 20 711 28 37 423 101 4 4612 73 65 481 4 971 6252 28 10559 26;Now is that to again accused because the public prosecutor in . ;2537 28 31 37 1301 2848 481 4 971 6252 3 26;5.300357680184253e-09;1;2
Diese Ergebnisse sind die Grundlage für die europäischen Programme zum Schutz der Barentsee , und deswegen bitte ich Sie , einen Briefentwurf , der Ihnen die wichtigsten Fakten schildert , zu prüfen und im Sinne der Beschlüsse des Parlaments in Rußland diese Position deutlich zu machen . ;1365 1536 87 16 10 32 16 779 1342 587 2455 5 0 14 20 7213 578 210 394 14 232 0 14 5 445 16 3362 6038 0 14 28 2644 20 73 472 5 363 50 572 4 5454 127 697 2339 28 397 25;These findings form the basis of the European programmes to protect the Barents Sea , and that is why I would ask you to examine a draft letter setting out the most important facts and to make Parliament s position , as expressed in the resolutions which it has adopted , clear as far as Russia is concerned . ;1471 1188 524 4 264 12 4 193 1325 37 2612 4 20526 10093 20 53 31 28 710 117 427 708 448 37 2468 35 1035 2340 1369 1073 4 304 183 5548 53 37 119 64 24 707 20 21 1131 3 4 62 15 86 76 1376 20 72 21 1098 21 5031 28 42 26;This results are the basis for European programmes protect and I therefore you , facts a examine you main and decisions Parliament s of in Russia this position . ;162 1600 41 4 264 61 193 1325 2612 53 117 29 448 20 5548 35 2468 448 521 53 441 64 24 12 3 5031 124 707 26;2.4793877932256863e-23;1;2
Dennoch , Frau Präsidentin , wurde meinem Wunsch nicht entsprochen . ;2969 14 617 618 14 412 849 2208 315 5159 25;But , Madam President , my personal request has not been met . ;1846 20 635 58 20 844 2794 1833 76 77 78 1750 26;However , , Madam President was my . ;843 20 20 635 58 834 844 26;2.3145486487907063e-05;1;2
Frau Plooij-van Gorsel , ich kann Ihnen mitteilen , daß dieser Punkt am Mittwoch auf der Tagesordnung der Quästoren steht . ;617 7747 6637 14 210 371 445 3603 14 30 82 1065 721 5936 9 5 1002 5 7791 36 25;Mrs Plooij-van Gorsel , I can tell you that this matter is on the agenda for the Quaestors meeting on Wednesday . ;2185 6088 6089 20 117 6 1751 448 31 124 1077 28 82 4 1001 61 4 7153 1290 82 5460 26;Mrs Plooij-van Gorsel I can inform you that this point place on Wednesday the agenda of Quaestors . ;2185 6088 6089 117 6 3369 448 31 124 1089 856 82 5460 4 1001 12 7153 26;1.7087677529629484e-10;1;3
Ich hoffe , daß dort in Ihrem Sinne entschieden wird . ;107 1845 14 30 955 4 9819 472 874 139 25;It will , I hope , be examined in a positive light . ;27 125 20 117 136 20 8 4822 3 35 485 2646 26;I hope that your . ;117 136 31 1234 26;0.0004062122556138533;1;3
Frau Präsidentin , können Sie mir sagen , warum sich dieses Parlament nicht an die Arbeitsschutzregelungen hält , die es selbst verabschiedet hat ? ;617 618 14 311 394 940 436 14 477 180 207 63 315 113 16 0 2554 14 16 27 666 2308 120 554;Madam President , can you tell me why this Parliament does not adhere to the health and safety legislation that it actually passes ? ;635 58 20 6 448 1751 766 710 124 64 456 77 7550 37 4 973 53 360 279 31 86 2004 18219 577;Madam President , you can why Parliament this the ? ;635 58 20 448 6 710 64 124 4 577;1.4348730986475413e-10;1;2
